iter	Passed	Remaining
0	21	4352
1	40	3968
2	58	3855
3	78	3862
4	97	3808
5	117	3803
6	137	3799
7	156	3764
8	173	3678
9	191	3629
10	209	3594
11	227	3557
12	244	3512
13	262	3485
14	279	3452
15	298	3436
16	317	3415
17	334	3383
18	351	3350
19	369	3322
20	386	3291
21	403	3267
22	424	3264
23	443	3253
24	460	3222
25	476	3189
26	493	3162
27	510	3134
28	528	3116
29	546	3098
30	563	3072
31	580	3048
32	597	3024
33	614	2999
34	631	2975
35	648	2952
36	665	2930
37	682	2910
38	699	2886
39	715	2863
40	732	2840
41	749	2818
42	766	2797
43	780	2768
44	797	2747
45	817	2736
46	838	2729
47	855	2709
48	871	2686
49	888	2664
50	903	2640
51	920	2619
52	936	2597
53	953	2577
54	969	2556
55	986	2535
56	1002	2515
57	1019	2496
58	1036	2476
59	1052	2456
60	1070	2438
61	1086	2419
62	1103	2400
63	1120	2380
64	1136	2361
65	1153	2341
66	1170	2323
67	1187	2305
68	1204	2286
69	1225	2275
70	1242	2258
71	1257	2236
72	1272	2213
73	1289	2196
74	1307	2178
75	1323	2160
76	1341	2142
77	1358	2124
78	1375	2106
79	1392	2088
80	1409	2070
81	1425	2051
82	1441	2032
83	1458	2014
84	1475	1996
85	1492	1978
86	1509	1960
87	1526	1942
88	1543	1924
89	1562	1909
90	1581	1893
91	1597	1875
92	1618	1862
93	1638	1847
94	1655	1830
95	1672	1812
96	1689	1794
97	1706	1776
98	1723	1758
99	1740	1740
100	1756	1722
101	1774	1704
102	1791	1686
103	1808	1668
104	1824	1651
105	1841	1633
106	1858	1615
107	1875	1597
108	1892	1580
109	1908	1561
110	1925	1543
111	1942	1526
112	1959	1508
113	1976	1490
114	1990	1471
115	2007	1453
116	2027	1438
117	2044	1420
118	2060	1402
119	2075	1383
120	2092	1366
121	2110	1349
122	2127	1331
123	2144	1314
124	2161	1296
125	2178	1279
126	2195	1262
127	2212	1244
128	2228	1226
129	2244	1208
130	2262	1191
131	2278	1173
132	2294	1155
133	2311	1138
134	2328	1120
135	2345	1103
136	2362	1086
137	2378	1068
138	2396	1051
139	2416	1035
140	2433	1018
141	2450	1001
142	2467	983
143	2484	966
144	2500	948
145	2517	930
146	2533	913
147	2550	896
148	2567	878
149	2584	861
150	2601	844
151	2618	826
152	2632	808
153	2649	791
154	2665	773
155	2682	756
156	2699	739
157	2716	722
158	2733	704
159	2749	687
160	2766	670
161	2781	652
162	2797	635
163	2819	618
164	2836	601
165	2853	584
166	2870	567
167	2887	549
168	2903	532
169	2920	515
170	2937	498
171	2954	480
172	2971	463
173	2986	446
174	3003	429
175	3020	411
176	3036	394
177	3053	377
178	3069	360
179	3086	342
180	3104	325
181	3122	308
182	3139	291
183	3154	274
184	3171	257
185	3189	240
186	3208	223
187	3228	206
188	3245	188
189	3263	171
190	3280	154
191	3298	137
192	3315	120
193	3332	103
194	3348	85
195	3364	68
196	3381	51
197	3398	34
198	3414	17
199	3430	0
